article_name,fincen_id,doc_type,doc_title,doc_date,source_csv,fraud_type,fraud_keyword,page_number,bbox,bbox_norm,page_width,page_height
advis19.pdf,,Advisory,FinCEN Advisory - Issue 19,07/01/2000,fincen_advisories.csv,money_laundering,money laundering,2,"[186.47999572753906, 362.52001953125, 505.6679992675781, 403.32000732421875]","[0.30470587537179583, 0.45772729738794193, 0.8262549007640165, 0.5092424334901752]",612.0,792.0
advis19.pdf,,Advisory,FinCEN Advisory - Issue 19,07/01/2000,fincen_advisories.csv,money_laundering,Money Laundering,3,"[186.47999572753906, 102.84000396728516, 520.1278686523438, 172.44009399414062]","[0.30470587537179583, 0.12984848985768327, 0.8498821383208232, 0.21772739140674321]",612.0,792.0
advis19.pdf,,Advisory,FinCEN Advisory - Issue 19,07/01/2000,fincen_advisories.csv,money_laundering,money laundering,3,"[186.47999572753906, 102.84000396728516, 520.1278686523438, 172.44009399414062]","[0.30470587537179583, 0.12984848985768327, 0.8498821383208232, 0.21772739140674321]",612.0,792.0
advis19.pdf,,Advisory,FinCEN Advisory - Issue 19,07/01/2000,fincen_advisories.csv,money_laundering,money laundering,3,"[186.47999572753906, 102.84000396728516, 520.1278686523438, 172.44009399414062]","[0.30470587537179583, 0.12984848985768327, 0.8498821383208232, 0.21772739140674321]",612.0,792.0
advis19.pdf,,Advisory,FinCEN Advisory - Issue 19,07/01/2000,fincen_advisories.csv,money_laundering,money laundering,3,"[186.47999572753906, 186.84011840820312, 530.423583984375, 285.240234375]","[0.30470587537179583, 0.2359092404143979, 0.8667052025888481, 0.36015181107954547]",612.0,792.0
advis19.pdf,,Advisory,FinCEN Advisory - Issue 19,07/01/2000,fincen_advisories.csv,money_laundering,money laundering,3,"[186.47999572753906, 186.84011840820312, 530.423583984375, 285.240234375]","[0.30470587537179583, 0.2359092404143979, 0.8667052025888481, 0.36015181107954547]",612.0,792.0
advis19.pdf,,Advisory,FinCEN Advisory - Issue 19,07/01/2000,fincen_advisories.csv,money_laundering,money laundering,3,"[186.47999572753906, 186.84011840820312, 530.423583984375, 285.240234375]","[0.30470587537179583, 0.2359092404143979, 0.8667052025888481, 0.36015181107954547]",612.0,792.0
advis19.pdf,,Advisory,FinCEN Advisory - Issue 19,07/01/2000,fincen_advisories.csv,money_laundering,money laundering,3,"[186.47999572753906, 186.84011840820312, 530.423583984375, 285.240234375]","[0.30470587537179583, 0.2359092404143979, 0.8667052025888481, 0.36015181107954547]",612.0,792.0
advis19.pdf,,Advisory,FinCEN Advisory - Issue 19,07/01/2000,fincen_advisories.csv,money_laundering,money laundering,4,"[186.47999572753906, 216.84017944335938, 523.0802612304688, 272.0402526855469]","[0.30470587537179583, 0.273788105357777, 0.8547063092001124, 0.34348516753225616]",612.0,792.0
advis2.pdf,,Advisory,FinCEN Advisory - Issue 2,03/01/1996,fincen_advisories.csv,money_laundering,money laundering,1,"[183.11997985839844, 243.05807495117188, 551.3164672851562, 327.5380859375]","[0.2992156533633961, 0.30689150877673216, 0.900843900792739, 0.41355818931502525]",612.0,792.0
